B2,B3,B4,B5,B6,B7,B8,class
741.5,1034.0,1435.0,1880.0,1991.0,2076.0,1973.0,50
1319.0,1859.0,2246.0,2164.5,2336.0,2498.0,2729.0,50
745.0,1000.0,1370.5,1727.5,2017.0,2121.5,2082.0,50
1670.0,2023.0,2308.0,2146.0,2145.5,2106.0,2303.0,50
697.0,950.0,1236.0,1366.0,1564.0,1614.5,1590.0,50
1229.0,1492.0,2103.0,2093.5,2412.5,2507.5,2310.0,50
732.0,1004.0,1290.0,2088.5,2384.0,2584.5,2518.5,50
1210.0,1616.0,2067.0,2546.0,2623.5,2729.5,2621.0,50
1008.5,1303.0,1486.0,1609.0,1895.5,2022.5,2102.0,50
993.0,1421.0,1909.0,2092.0,2310.0,2454.5,2561.5,50
1882.0,2022.0,2355.0,2181.0,2397.0,2862.5,3692.0,50
806.5,1010.5,1159.0,1510.5,1794.0,1954.0,1644.0,50
718.0,1076.0,1350.0,1816.5,2480.0,2757.5,2937.0,50
1016.0,1410.0,1782.0,2046.0,2531.0,2803.5,3039.0,50
1163.0,1374.0,1640.0,1877.0,2163.5,2339.5,2318.0,50
899.5,1390.0,1998.0,2193.0,2370.0,2566.0,2729.5,50
1154.0,1644.0,2429.0,2197.0,2275.0,2304.0,2858.0,50
1043.0,1439.0,1719.0,1738.5,2054.0,2172.5,2168.5,50
1029.5,1395.0,1605.0,1653.0,2185.0,2437.0,2668.5,50
1190.0,1536.0,1980.0,1876.0,2237.0,2325.5,2578.0,50
892.0,1138.0,1648.0,1608.0,1753.0,1877.5,2244.0,50
1235.0,1602.0,2033.0,2358.0,2588.0,2648.5,2464.5,50
650.0,901.5,1184.5,1450.0,1675.5,1794.0,1692.0,50
618.5,799.0,1133.0,1710.0,1779.0,1787.0,1216.5,50
1033.0,1315.0,1561.0,1957.0,2099.5,2167.5,2057.5,50
551.0,497.0,481.5,531.5,548.0,736.5,633.5,50
593.0,883.0,1078.5,1514.5,2078.0,2255.0,2185.0,50
1077.0,1305.0,2018.5,2583.5,2686.5,2662.5,2343.5,50
955.0,1393.0,1780.0,2019.0,2212.0,2356.0,2309.0,50
637.5,909.0,1158.0,1496.0,1690.0,1801.0,1731.5,50
1230.0,1484.0,2200.0,1984.0,2163.5,2230.5,2451.5,50
928.0,1422.0,1943.0,1994.5,2231.0,2416.0,2593.0,50
1226.0,1507.0,1923.0,2397.5,2516.0,2607.0,2278.0,50
948.0,1378.0,1884.0,2035.5,2225.0,2299.0,2234.5,50
1131.0,1475.0,1715.0,1832.0,2144.5,2311.0,2348.0,50
1787.0,2077.0,2377.0,2447.5,2482.5,2646.0,2757.5,50
730.0,1082.0,1248.0,1693.5,2086.0,2287.5,2354.0,50
919.5,1380.0,1709.0,2189.0,2398.0,2511.0,2453.0,50
1504.0,1856.0,2265.0,2298.5,2311.0,2343.0,2367.0,50
937.0,1206.0,1440.0,1748.0,1887.0,2022.0,2030.0,50
676.5,1021.5,1250.0,1409.5,1825.0,1917.5,2061.0,50
903.0,1163.0,1756.0,1999.0,2147.0,2207.0,2006.5,50
1137.0,1495.0,1748.0,2036.0,2216.5,2329.0,2115.5,50
584.0,825.0,955.0,1092.0,1617.0,1861.0,1812.0,50
1662.0,2124.0,2644.5,2043.5,2308.0,2429.5,2819.0,50
801.0,1171.0,1593.0,1981.0,2193.0,2344.5,2207.0,50
925.5,1255.0,1587.0,1895.5,2165.5,2325.0,2319.0,50
1253.0,2031.0,2867.0,2493.5,2822.0,2945.0,3388.0,50
1632.0,1953.0,2257.0,2225.0,2438.5,2637.0,2579.0,50
709.5,998.0,1584.0,2091.0,2269.0,2380.0,1985.5,50
981.0,1453.0,1862.0,2155.5,2539.5,2788.0,2838.0,50
2129.0,2297.0,2528.0,2384.0,2480.0,3107.0,3592.0,50
1349.0,1708.0,2099.0,2592.0,2563.0,2509.0,2260.0,50
1236.0,1561.0,1881.0,2109.5,2167.0,2232.5,2146.5,50
1044.0,1431.0,1916.0,2080.5,2249.5,2312.5,2344.0,50
